Counties,Estimates
".Anderson County, Texas","58,064"
".Andrews County, Texas","18,334"
".Angelina County, Texas","87,101"
".Aransas County, Texas","24,944"
".Archer County, Texas","8,835"
".Armstrong County, Texas","1,850"
".Atascosa County, Texas","50,864"
".Austin County, Texas","31,097"
".Bailey County, Texas","6,779"
".Bandera County, Texas","22,115"
".Bastrop County, Texas","106,188"
".Baylor County, Texas","3,466"
".Bee County, Texas","30,394"
".Bell County, Texas","388,386"
".Bexar County, Texas","2,059,530"
".Blanco County, Texas","12,418"
".Borden County, Texas",585
".Bosque County, Texas","18,697"
".Bowie County, Texas","92,035"
".Brazoria County, Texas","388,181"
".Brazos County, Texas","242,014"
".Brewster County, Texas","9,343"
".Briscoe County, Texas","1,431"
".Brooks County, Texas","6,906"
".Brown County, Texas","38,373"
".Burleson County, Texas","18,657"
".Burnet County, Texas","52,502"
".Caldwell County, Texas","47,848"
".Calhoun County, Texas","19,706"
".Callahan County, Texas","14,210"
".Cameron County, Texas","425,208"
".Camp County, Texas","12,716"
".Carson County, Texas","5,784"
".Cass County, Texas","28,539"
".Castro County, Texas","7,298"
".Chambers County, Texas","51,288"
".Cherokee County, Texas","51,645"
".Childress County, Texas","6,809"
".Clay County, Texas","10,486"
".Cochran County, Texas","2,526"
".Coke County, Texas","3,333"
".Coleman County, Texas","7,850"
".Collin County, Texas","1,158,696"
".Collingsworth County, Texas","2,568"
".Colorado County, Texas","20,754"
".Comal County, Texas","184,642"
".Comanche County, Texas","13,878"
".Concho County, Texas","3,340"
".Cooke County, Texas","43,050"
".Coryell County, Texas","85,057"
".Cottle County, Texas","1,307"
".Crane County, Texas","4,546"
".Crockett County, Texas","2,943"
".Crosby County, Texas","4,998"
".Culberson County, Texas","2,155"
".Dallam County, Texas","7,241"
".Dallas County, Texas","2,600,840"
".Dawson County, Texas","12,130"
".Deaf Smith County, Texas","18,377"
".Delta County, Texas","5,406"
".Denton County, Texas","977,281"
".DeWitt County, Texas","19,772"
".Dickens County, Texas","1,726"
".Dimmit County, Texas","8,387"
".Donley County, Texas","3,339"
".Duval County, Texas","9,888"
".Eastland County, Texas","17,944"
".Ector County, Texas","160,869"
".Edwards County, Texas","1,422"
".Ellis County, Texas","212,182"
".El Paso County, Texas","868,763"
".Erath County, Texas","43,895"
".Falls County, Texas","17,049"
".Fannin County, Texas","37,125"
".Fayette County, Texas","24,913"
".Fisher County, Texas","3,622"
".Floyd County, Texas","5,235"
".Foard County, Texas","1,057"
".Fort Bend County, Texas","889,146"
".Franklin County, Texas","10,618"
".Freestone County, Texas","19,950"
".Frio County, Texas","17,815"
".Gaines County, Texas","22,181"
".Galveston County, Texas","357,117"
